name,url,description,img_url,volume,category
Monochrome collection 129 Irish / Монохром колекція 129 Іріш,https://gamagel.com.ua/monochrome-collection-irish-129-monokhrom-kolektsiya-irish-129/,Monochrome collection - 7 пастельних кольорів. дууже стильні. точно не будуть стояти без діла .щільні,gamagel.com.ua/content/images/31/449x390l80mc0/73677333181865.jpeg,10 мл,Колекції
Monochrome collection 123 Glacé / Монохром колекція 123 Глясе,https://gamagel.com.ua/monochrome-collection-glace-123-monokhrom-kolektsiya-glyase-123/,Monochrome collection - 7 пастельних кольорів. дууже стильні. точно не будуть стояти без діла .щільні,gamagel.com.ua/content/images/43/404x390l80mc0/63724542911195.jpeg,10 мл,Колекції
Monochrome collection 125 Raf / Монохром колекція 125 Раф,https://gamagel.com.ua/monochrome-collection-raf-125-monokhrom-kolektsiya-raf-125/,Monochrome collection - 7 пастельних кольорів. дууже стильні. точно не будуть стояти без діла .щільні,gamagel.com.ua/content/images/35/410x390l80mc0/66767824863665.jpeg,10 мл,Колекції
Monochrome collection 124 Flat white / Монохром колекція 124 Флет вайт,https://gamagel.com.ua/monochrome-collection-flat-white-124-monokhrom-kolektsiya-flet-vayt-124/,Monochrome collection - 7 пастельних кольорів. дууже стильні. точно не будуть стояти без діла .щільні,gamagel.com.ua/content/images/36/422x390l80mc0/98637249506540.jpeg,10 мл,Колекції
Basic collection 004 blidno-rozhevyy / Базова колекція 004 блідно-рожевий,https://gamagel.com.ua/basic-collection-blidno-rozhevyy-04-bazova-kolektsiya-blidno-rozheviy-04/,Basic color 04 -,gamagel.com.ua/content/images/42/390x390l80mc0/95450985049015.jpeg,10 мл,Базова колекція
Basic collection 001 chornyy / Базова колекція 001 чорний,https://gamagel.com.ua/basic-collection-chornyy-1-bazova-kolektsiya-chorniy-1/,"Basic color 1 - той самий ідеальний чорний, щільний, просихає на 100%. він став фаворитом наших клієнтів.",gamagel.com.ua/content/images/3/390x390l80mc0/12075573160715.jpeg,15 мл,Базова колекція
Basic collection 002 holodniy bilyy / Базова колекція 002 холодний білий,https://gamagel.com.ua/basic-collection-holodniy-bilyy-2-bazova-kolektsiya-kholodniy-biliy-2/,"Basic color 2 - той самий ідеальний холодний білий, який всі шукають. щільний, просихає на 100%. він став фаворитом наших клієнтів.",gamagel.com.ua/content/images/2/390x390l80mc0/87509944685446.jpeg,15 мл,Базова колекція
Basic collection 003 bilyy / Базова колекція 003 білий,https://gamagel.com.ua/basic-collection-bilyy-3-bazova-kolektsiya-biliy-3/,"Basic color 3 - теплий білий, щільний",gamagel.com.ua/content/images/1/396x390l80mc0/25766083974552.jpeg,15 мл,Базова колекція
Monochrome collection 126 Espresso / Монохром колекція 126 Єспрессо,https://gamagel.com.ua/monochrome-collection-espresso-126-monokhrom-kolektsiya-iespresso-126/,Monochrome collection - 7 пастельних кольорів. дууже стильні. точно не будуть стояти без діла .щільні,gamagel.com.ua/content/images/34/420x390l80mc0/58802960186952.jpeg,10 мл,Колекції
Monochrome collection 127 Latte / Монохром колекція 127 Латте,https://gamagel.com.ua/monochrome-collection-latte-127-monokhrom-kolektsiya-latte-127/,Monochrome collection - 7 пастельних кольорів. дууже стильні. точно не будуть стояти без діла .щільні,gamagel.com.ua/content/images/33/423x390l80mc0/42019060585085.jpeg,10 мл,Колекції
