time_pub,title,text,tags,url
18:42,Гість студії. Володимир Гриценко,,"#Вільні_Демократи, #гість_студії, #засоби_масової_інформації, #Володимир_Гриценко",https://www.vikka.ua/novini-na-vikka/vikka-novini/gist-studi%d1%97-volodimir-gricenko/
06:45,Держекоінспекція налаштована зупинити діяльність підприємства на Черкащині," Спеціалісти Державної екологічної інспекції у Черкаській області провели позапланову перевірку щодо дотримання вимог природоохоронного законодавства ТОВ ""Панда"" м. Тальне. Про це повідомляє заступник начальника Держекоінспекції у Черкаській області Олександр Позняков. ДИВІТЬСЯ: На Черкащині рибу в річках труять шкідливими викидами (ФОТО) За результатами проведеної перевірки встановлено, що діяльність із виробництва цукру здійснюється з порушеннями, а саме: відсутній дозвіл на викиди забруднюючих речовин в атмосферне повітря, відсутня реєстрова карта об'єкту утворення, оброблення та утилізації відходів, не представлені договори передачі відходів та журнал обліку відходів та скид зворотних вод І категорії здійснюється з перевищенням. Таким чином, підприємство забруднювало річку Тальянка та Гірський Тікич. Матеріали перевірки направлено до Київського окружного адміністративного суду для прийняття рішення щодо застосування заходів реагування до товариства з обмеженою відповідальністю ""Панда"", а саме зобов'язати його тимчасово зупинити діяльність. Як повідомляв сайт vikka.ua, у Черкасах повітря ","#ВІККА, #новини, #Черкащина, #екологія, #забруднення",https://www.vikka.ua/novini/derzhekoinspekciya-nalashtovana-zupiniti-diyalnist-pidpriyemstva-na-cherkashhini/
07:07,На військових складах у Черкаській області виявили суттєві порушення," Співробітники військової прокуратури Черкаського гарнізону влаштували перевірку складів боєприпасів. Такий контроль пов’язаний з нещодавніми подіями на території 48 Арсеналу в місті Калинівка, що на Вінниччині. Про це повідомляє прес-служба військової прокуратури центрального регіону України. дивіться: БТР, безпілотники та гранатомети: у Черкасах провели виставку військової техніки та зброї (ФОТО) Під час перевірки військових арсеналів, що розташовані в Дубіївці та Розсішках було зафіксовано порушення вимог до складання документів стосовно організації зберігання та розміщення боєприпасів, стану виконання заходів протипожежної безпеки. За недбале ставлення до військової служби, на трьох керівних осіб було складено протокол про адміністративне правопорушення. Також, військовою прокуратурою Черкаського гарнізону було встановлено факт укладення договору між військовою частиною та фізичною особою, щодо проведення капітального ремонту дахів і покрівлі сховищ на технічній території частини. Таким чином, військові посадовці незаконно розтратили бюджетні кошти на суму понад 60 тис. грн. Ці гроші були виділені по програмі живучості баз, складів та арсеналів. За даним фактом було порушено кримінальне провадження. Як повідомляв сайт vikka.ua, на Хмельниччині ","#ВІККА, #новини, #Черкащина, #військові",https://www.vikka.ua/novini/na-vijskovix-skladax-u-cherkaskij-oblasti-viyavili-suttyevi-porushennya/
19:28,Канівщина серед лідерів області з кількості зафіксованих онкозахворювань (ВІДЕО),,"#онкологія, #Канів, #онкохворі, #лікування",https://www.vikka.ua/novini-na-vikka/vikka-novini/kanivshhina-sered-lideriv-oblasti-z-kilkosti-zafiksovanix-onkozaxvoryuvan-video/
18:45,Шістнадцятирічний черкащанин потребує термінової допомоги в боротьбі з раком (ВІДЕО),"Коли на заваді мрії – хвороба. Героя нашого сюжету вона зупинила за крок від дорослого життя. У 16-річного Миколи з Катеринопільщини виявили злоякісну пухлину. Юнак має всі шанси побороти хворобу, та лікування гальмує брак грошей. Багатодітна родина не в силах оплатити порятунок сина самотужки. Надія, каже Вікторія Хамаза, лише на небайдужих.Реквізити:""ПриватБанк"": 4149 4978 1236 5536","#онкологія, #потребує_допомоги, #онкохворі",https://www.vikka.ua/novini-na-vikka/vikka-novini/shistnadcyatirichnij-cherkashhanin-potrebuye-terminovo%d1%97-dopomogi-v-borotbi-z-rakom-video/
19:01,Двоє учасників ДТП у Черкасах переконані в правильності свого руху (ВІДЕО),,"#тролейбуси, #аварія,_ДТП, #автомобілі, #громадський_транспорт",https://www.vikka.ua/novini-na-vikka/vikka-novini/dvoye-uchasnikiv-dtp-u-cherkasax-perekonani-v-pravilnosti-svogo-ruxu-video/
20:37,Sinoptik: У четвер 19 жовтня на Черкащині буде хмарно," 19 жовтня в Черкаській області буде без опадів. У Черкасах, Золотоноші, Каневі, Чорнобаї, Драбові, Корсуні-Шевченківському, Катеринополі, Умань, Шполі, Звенигородці хмарна погода протримається весь день. Читайте: Черкащани просять зменшити теплопостачання у теплі дні Температура повітря вночі +13…+15 градусів, удень стовпчики термометрів піднімуться до +17…+19 градусів. Вітер південно-західний, східний 1–2 м/с. Як повідомляв сайт vikka.ua, на Черкащину ","#ВІККА, #новини, #Черкащина, #погода, #осінь, #хмари",https://www.vikka.ua/novini/sinoptik-u-chetver-19-zhovtnya-na-cherkashhini-bude-xmarno/
07:28,Черкаська митниця поповнила держбюджет на майже 200 мільйонів," За вересень Черкаська митниця ДФС перерахувала до бюджету України 178 млн. грн. податків і зборів. Порівняно з вереснем минулого року, надходження більші на 43,45 млн. грн. Про це повідомляє прес-служба ГУ ДФС у Черкаській області. Читайте: Радуцький візьме участь в обговоренні проекту Держбюджету-2018 у парламентському комітеті У вересні перераховано 157 млн. грн. податку на додану вартість; 2,4 млн. грн. акцизного податку; 188,7 тис. грн. вивізного мита та 18176,6 тис. грн. ввізного мита. Також проведено 212 митних оглядів, оформлено 48 карток відмови у митному оформленні і виявлено 8 випадків порушення митних правил. До відповідальності за порушення митних правил притягнуто 3 осіб із накладенням штрафів на суму 26 тис. гривень. До державного бюджету України від правоохоронної діяльності митниці перераховано 83 тис. грн. адміністративних штрафів. Як повідомляв сайт vikka.ua, черкаські депутати ","#ВІККА, #новини, #Черкащина, #бюджет, #митниця",https://www.vikka.ua/novini/cherkaska-mitnicya-popovnila-derzhbyudzhet-na-majzhe-200-miljoniv/
06:02,В Умані пільговий проїзд у маршрутках для пенсіонерів хочуть обмежити  (ВІДЕО),,"#ВІККА, #пенсіонери, #громадський_транспорт, #обмеження, #автобуси, #проїзд",https://www.vikka.ua/novini-na-vikka/vikka-novini/v-umani-pilgovij-pro%d1%97zd-u-marshrutkax-dlya-pensioneriv-xochut-obmezhiti-video/
06:23,Черкаські депутати вимагають скликати сесію (ДОКУМЕНТ)," 15 депутатів Черкаської міської ради звернулися до міського голови Анатолія Бондаренка з вимогою скликати пленарне засідання сесії з розгляду галузевих та земельних питань. Про це у Facebook повідомив секретар міськради Олександр Радуцький. ДИВІТЬСЯ: Частина черкаських депутатів полишила пленарне засідання через АТОвчо-мерське непорозуміння (ВІДЕО) ""На цьому засіданні будуть розглядати важливі питання про розвиток нашого міста та діяльність деяких посадовців, які заради особистого збагачення почали роздавати дозволи на забудову берегової смуги в мікрорайоні Митниця"", – зазначив він. Також депутати планують розглянути питання щодо надання 40 земельних ділянок для воїнів АТО. На виготовлення документів депутати міської ради виділили близько 64 тис. грн із бюджету.   Як повідомляв сайт vikka.ua, Бондаренко ","#Черкаси, #ВІККА, #новини, #міськрада, #депутатство",https://www.vikka.ua/novini/cherkaski-deputati-vimagayut-sklikati-sesiyu-dokument/
07:58,"Це корисно для волосся, – нардеп Гончаренко відреагував на ""яєчну атаку"" черкаського активіста"," Нардеп Олексій Гончаренко, якому влучили яйцем в голову під стінами Верховної Ради, не звертатиметься до правохоронців з приводу інциденту. В ефірі телеканалу ""112 Україна"" він зазначив, що, окрім користі для волосся, не бачить жодних наслідків події. ""Це дуже добре, наскільки я знаю, для волосся. Жовток – це надзвичайно корисно. Немає жодних проблем. Якщо в нашій країні жбурляють яйцями і продуктами харчування, значить, не так вже все і погано, точно не голодує народ, тим більше мітингувальники"", – сказав Гончаренко. Читайте: Житло для трьох черкаських нардепів у 2016 році обійшлося бюджету у майже півмільйона Він висловив переконання, що серед протестувальників були люди ""не за покликанням душі, вони могли і чорною ікрою там пожбурляти"". ""Мені немає чого звертатися до правоохоронних органів, тому що вся ця історія смішна"", – резюмував нардеп. Нагадємо, 17 жовтня під час протесту в урядовому кварталі в Києві яйця посипалися на голову нардепу. Саме громадський активіст із Черкас Олександр Дувінський закидав Олексія Гончаренка. Як повідомляв сайт vikka.ua, суд подвоїв ","#ВІККА, #новини, #Верховна_Рада, #нардеп, #акція_протесту",https://www.vikka.ua/novini/ce-korisno-dlya-volossya-nardep-goncharenko-vidreaguvav-na-yayechnu-ataku-cherkaskogo-aktivista/
08:19,"У Золотоноші водій збив на ""зебрі"" двох підлітків (ВІДЕО)"," У Золотоноші на пішохідному переході поблизу ветеринарного коледжу чоловік збив двох підлітків, хлопця та дівчину. У наслідок отриманих травм дівчина втратила свідомість. Про це пише ""Черкаський край"". дивіться: У Черкасах на дорозі збили жінку (ФОТО) Діти, переконавшись, що дорога вільна, переходили по пішохідному переходу на вулиці Шевченка. Майже перед самим тротуаром їх збив чоловік ромської національності, який виїхав невідомо звідки на ""Жигулях"". У наслідок аварії дівчина отримала пошкодження хребета і переломи кісток тазу та зомліла на місці. Хлопець постраждав менше, у нього зафіксовано перелом ноги. Підліток і викликав швидку допомогу. Правоохоронці патрулювали відрізок дороги неподалік події та одразу прибули на місце ДТП. ""Важко навіть пояснити, чому трапився цей наїзд. Вулиця освітлюється ліхтарями, пішоходи були в темному одязі, автомобіль їхав не швидко, водій з місця пригоди не зникав, ми відразу перекрили рух вулицею"", − розповів про обставини інспектор патрульної служби Ярослав Бондаренко. Обставини автопригоди розслідують слідчі з відділу поліції. Двох збитих дітей доставили швидкою в центральну районну лікарню, де надали першу допомогу, зробили рентген-обстеження та відправили швидкою в Черкаси на лікування в обласну лікарню.   Як повідомляв сайт vikka.ua, школяр, якого збили на пішохідному переході в Черкасах ","#ВІККА, #новини, #Черкащина, #аварія,_ДТП",https://www.vikka.ua/novini/u-zolotonoshi-vodij-zbiv-na-zebri-dvox-pidlitkiv-video/
08:39,"Пернаті переселенці: парк у Черкасах ""атакували"" дикі качки (ВІДЕО)"," На невеликому озері в Черкасах оселилися понад сотня крижнів, і як запевняють зоологи, це перенаселення. Пернаті живуть там уже кілька років, проте цьогоріч стався справжній вибух популяції. Птахи стали майже ручними і не бояться людей. Про це йдеться в сюжеті 5 каналу. Уже за 50 метрів від цього місця одна з головних черкаських вулиць, проте це не лякає місцевих жителів парку – у качок тут своя атмосфера та затишок. Письменник Станіслав Кравець знає, скільки у парку живе пташок. Кілька разів на тиждень він приходить сюди шукати натхнення для майбутніх творів. Особисто рахував – у серпні їх було майже 150. ДИВІТЬСЯ: У Черкаському зоопарку ""вовче"" поповнення (ВІДЕО) Качки перелетіли із зоопарку, який за кількасот метрів звідси. Влітку вони плавають на тихому плесі, а от на зиму в теплі краї не відлітають – хитруни повертаються до зоопарку, бо там тепліше. У цей період доводиться збільшувати закупівлю корму на третину. ""Ми нараховуємо приблизно 50–60 пар. Вони сюди перелітають, переходять пішки, тут є своя популяція, яка нікуди не хоче відлітати. Взимку наш ставок не замерзає, ми встановлюємо компресор і качаємо повітря, тому вода ""кипить"", – звітує директор зоопарку Євген Ван. Така кількість пернатих на парковому озері – справжнє перенаселення, кажуть зоологи. Якщо качки не перелетять на великі водойми, то розпочнеться запекла боротьба за територію. Проблеми додають і новосели – справжні дикі крижні, які сюди тікають через початок сезону полювання. І хоч це дика порода, крижнів черкаського парку вже важко назвати дикими. Вони не бояться людей, спокійно прогулюються берегом та навіть їдять з рук. Тому не голодують і деякі навіть мають трохи зайвої ваги. Боротися з качиним перенаселенням зоологи ніяк не планують. Кажуть, усе зробить природний відбір.  Як повідомляв сайт vikka.ua, мешканців черкаського зоопарку почали ","#Черкаси, #ВІККА, #новини, #зоопарк, #птахи",https://www.vikka.ua/novini/pernati-pereselenci-park-u-cherkasax-atakuvali-diki-kachki-video/
09:18,"Вечірнє пропускне ""вікно"" через Дніпро затримають"," Служба автомобільних доріг у Черкаській області попереджає усіх водіїв, що рух автомобілів через міст ввечері 18 жовтня розпочнеться із затримкою. Зміни пов’язані з початком технологічного процесу заливання бетонної плити на прогоні мосту. Про це на сторінці у Facebook повідомляє прес-служба Черкаської САД. дивіться: Мені потрібен твій одяг і твоя робота, – Майкл Щур в образі Термінатора висміяв Гройсмана за зварювання черкаського мосту (ВІДЕО) Вечірнє ""вікно"" для проїзду відкриють не о 16:00, а о 17:30. Як повідомлялося, для забезпечення технології виконання робіт, автомобільного сполучення та роботи технологічного транспорту, розпорядженням голови Черкаської облдержадміністрації Юрія Ткаченка запроваджено графік проїзду легкових автомобілів, вантажного автотранспорту повною масою до 5 тонн та рейсових автобусів на період ремонту мосту. Рух по мосту для вищевказаних транспортних засобів здійснюється у спеціально відведений час: Вранці з 6.00 год. до 9.00 год. та ввечері з 16.00 год. до 19.00 год. Як повідомляв сайт vikka.ua, у Черкасах","#Черкаси, #ВІККА, #новини, #ремонт_мосту, #пропуск",https://www.vikka.ua/novini/vechirnye-propuskne-vikno-cherez-dnipro-zatrimayut/
08:54,Масова ДТП у Черкасах: 5 осіб потрапили до лікарні (ФОТО)," У неділю 15 жовтня близько одинадцятої години вечора на вулиці Гагаріна сталася ДТП, у якій постраждало п’ятеро осіб. Про це повідомляє прес-служба Патрульної поліції Черкас. ДИВІТЬСЯ: У Черкасах сталася ДТП з постраждалими (ФОТО) Водій Volkswagen Passat на мокрій дорозі не впорався з керуванням та на смузі зустрічного руху в`їхав в автомобіль Peugeot, за кермом якого була жінка.  У салоні останнього авто перебувало четверо людей, які внаслідок зіткнення отримали травми та були госпіталізовані до 3-ї міської лікарні. Постраждав і пасажир Volkswagen.   Патрульні поліцейські забезпечили охорону місця автопригоди та до приїзду слідчих у справах ДТП регулювали дорожній рух. Як повідомляв сайт vikka.ua, у Черкасах на дорозі ","#Черкаси, #ВІККА, #новини, #ДТП",https://www.vikka.ua/novini/masova-dtp-u-cherkasax-5-osib-potrapili-do-likarni-foto/
10:21,Ветеран АТО судитиметься з черкаськими владцями через пільгові перевезення," Колишній військовий зі Звенигородки Єгор Кравчук оскаржуватиме через суд рішення обласної ради щодо змін до програми ""Турбота"". Про це у Facebook пише черкаський журналіст Сергій Радченко. дивіться: В Умані пільговий проїзд у маршрутках для пенсіонерів хочуть обмежити (ВІДЕО) Згідно з внесеними до програми змінами, пільговики повинні будуть купувати квитки на міжміські автобуси за повну ціну, але з подальшою компенсацією. Військовий вважає це незаконним. Водночас керівник обласного департаменту соцзахисту населення Руслан Чикало каже, що поки рано говорити про введення в дію ухвалених змін. Нагадаємо, починаючи з 18 жовтня на міжміських перевезеннях придбання квитків пільговими категоріями населення будуть проводитися по пред’явленню посвідчення за повну вартість. Як повідомляв сайт vikka.ua, майже кожен четвертий житель Черкас ","#ВІККА, #новини, #Черкащина, #пільги",https://www.vikka.ua/novini/veteran-ato-suditimetsya-z-cherkaskimi-vladcyami-cherez-pilgovi-perevezennya/
09:59,Волонтерок із Черкащини нагородили відзнаками Президента (ФОТО)," У Каневі до Дня захисника України ""За гуманітарну участь в антитерористичній операції"" нагородили двох волонтерок. Про це на сторінці ""Волонтери Канева"" у Facebook написала одна з нагороджених жінок Людмила Мальон. дивіться: Ярослав Березань нагородив військових на Сході (ФОТО) ""Приємно, але ця нагорода стосується всіх жінок, які кожний день працюють, віддаючи часточку свого серця хлопцям на фронті. І в понеділок , коли був вихідний, і сьогодні жінки продовжували свою роботу"", − написала волонтерка. Жінка зазначила, що вони продовжують допомагати натовцям і днями доплели нову сітку та теплі шкарпетки. Вони планують незабаром відправити чергову допомогу на Схід.     Як повідомляв сайт vikka.ua, волонтеру зі Сміли вручили","#ВІККА, #новини, #Черкащина, #велонтери, #відзнака_Президента",https://www.vikka.ua/novini/volonterok-iz-cherkashhini-nagorodili-vidznakami-prezidenta-foto/
09:38,"Черкаські патрульні допомогли бабусі, яка на вулиці втратила свідомість та травмувалась"," На вихідних, патрулюючи вулицю Добровольського, інспектори допомогли жінці, яка лежала на землі без свідомості. Про це на сторінці у Facebook повідомляє прес-служба патрульної поліції Черкас. дивіться: В Умані пільговий проїзд у маршрутках для пенсіонерів хочуть обмежити (ВІДЕО)   Як з’ясувалося, пенсіонерка йшла вулицею і їй стало погано. Вона впала на землю, втратила свідомість та, вдарившись об бордюр, отримала травми голови. Перехожі, що стали свідками події не звернули на це уваги та пройшли повз.   Поліцейські привели жінку до тями та надали їй домедичну допомогу потім, передали пенсіонерку до рук медичних працівників, які прибули за викликом патрульних. Як повідомляв сайт vikka.ua, черкаські патрульні повернули","#Черкаси, #ВІККА, #новини, #пенсіонерка",https://www.vikka.ua/novini/cherkaski-patrulni-dopomogli-babusi-yaka-na-vulici-vtratila-svidomist-ta-travmuvalas/
10:43,На Черкащину повернулась АЧС," 12 жовтня в селі Ятранівка на Уманщині зареєстрували захворювання та загибель свині. Про це повідомляє прес-служба Головного управління Держпродспоживслужби в Черкаській області. Читайте: На Черкащині зняли карантин щодо африканської чуми свиней На засіданні надзвичайної протиепізоотичної комісії в Уманській РДА затвердили плани з ліквідації АЧС, визначили межі епізоотичних осередків, зон захисту та нагляду. В осередку захворювання вживають заходів із локалізації та недопущення поширення збудника АЧС. Як повідомляв сайт vikka.ua, на Черкащині ","#ВІККА, #новини, #Черкащина, #АЧС",https://www.vikka.ua/novini/na-cherkashhinu-povernulas-achs/
11:05,У ДТП в Черкасах загинув водій (ФОТО)," 17 жовтня близько дев’ятої години вечора черкаські патрульні отримали повідомлення про ДТП з постраждалими на вулиці 14 грудня. Про це повідомляє прес-служба Патрульної поліції Черкас. ДИВІТЬСЯ: Масова ДТП у Черкасах: п’ять осіб потрапили до лікарні (ФОТО) Поліцейські з’ясували, що водій автівки ВАЗ-2108 не впорався з керуванням та на швидкості в’їхав у бордюрний камінь. Від отриманих травм кермувальник загинув на місці автопригоди. Пасажир 1999 року народження з явними ознаками алкогольного сп`яніння був доставлений каретою швидкої до 3-ї міської лікарні. На місце ДТП патрульні викликали слідчих Черкаського відділу поліції, які в подальшому займаються даною справою. Як повідомляв сайт vikka.ua, у Золотоноші водій ","#Черкаси, #ВІККА, #новини, #ДТП",https://www.vikka.ua/novini/u-dtp-v-cherkasax-zaginuv-vodij-foto/
11:27,Каратист-переселенець із Черкас потребує коштів для поїздки на чемпіонат Європи," Майстер спорту України міжнародного класу та багаторазовий чемпіон з карате Олександр Решетняк може гідно представити Україну на Чемпіонаті Європи в Румунії. Однак для поїздки спортсменові не вистачає коштів. Читайте: Хоче чути та навчитись говорити: півторарічний черкащанин потребує грошової допомоги У 2014 році Олександр переїхав разом із родиною із Донецька у Черкаси. Тут він проводить тренування для різних вікових категорій у власній школі карате ""Окінава"". Торік спортсмен-переселенець у складі збірної України здобув срібну медаль на Чемпіонаті світу з традиційного карате. А через кілька днів мав би поїхати у складі української збірної за черговою перемогою, але на дорогу йому необхідно 12 тисяч гривень. Номер карти ПриватБанку: 5168 7555 2677 7905. Отримувач: Решетняк Олександр Сергійович. Як повідомляв сайт vikka.ua, юний баяніст із Черкащини ","#ВІККА, #новини, #Черкащина, #спортсмени",https://www.vikka.ua/novini/karatist-pereselenec-iz-cherkas-potrebuye-koshtiv-dlya-po%d1%97zdki-na-chempionat-yevropi/
11:49,Черкащани просять зменшити теплопостачання у теплі дні," На сайті Черкаської міської ради з’явилась електронна петиція із проханням регулювати постачання тепла в будинки, які не мають індивідуальних теплопунктів, під час підвищення температури повітря. Читайте: Деякі ОСББ у Черкасах не поспішають вмикати опалення За словами автора звернення, у сприятливу погоду батареї у квартирах доводиться накривати ковдрами, а вікна тримати відкритими. До того ж, рахунки за теплопостачання прийдуть значно вищі, оскільки буде спожито більше тепла. Як повідомляв сайт vikka.ua, цієї зими черкасці ","#Черкаси, #ВІККА, #новини, #теплопостачання, #петиція",https://www.vikka.ua/novini/cherkashhani-prosyat-zmenshiti-teplopostachannya-u-tepli-dni/
12:11,П’яна черкащанка після застілля вдарила ножем свого чоловіка," До чергової частини Христинівського відділення поліції надійшло повідомлення про те, що до Христинівської районної лікарні доставлено чоловіка з колото-різаними ранами грудної клітки та стегна. Про це повідомляє прес-служба ГУНП в Черкаській області. Читайте: Відсвяткували Покрову кулаками: у Смілі сталася масова бійка між волонтерами та атовцями Поліцейські встановили, що потерпілим виявився житель одного з сіл Христинівського району. Чоловік перебував в стані алкогольного сп’яніння. З’ясувалось, що під час розпиття алкогольних напоїв з дружиною, між ними виникла сварка, під час якої жінка схопила ножа та вдарила ним чоловіка. За скоєне жінці загрожує покарання у вигляді позбавлення волі на строк від п'яти до восьми років. Як повідомляв сайт vikka.ua, жінки влаштували ","#ВІККА, #новини, #Черкащина, #ножове_поранення",https://www.vikka.ua/novini/pyana-cherkashhanka-pislya-zastillya-vdarila-nozhem-svogo-cholovika/
12:23,У Черкасах автівку занесло у глибоку яму (ФОТО)," На вулиці Сумгаїтській водій автівки ВАЗ потрапив у глибоку яму на узбіччі. Внаслідок автопригоди ніхто не постраждав, тому чоловік відмовився від оформлення ДТП, повідомляє ""Про все"". ДИВІТЬСЯ: Масова ДТП у Черкасах: п’ять осіб потрапили до лікарні (ФОТО) Водій рухався у бік вулиці Одеська. Коли на світлофорі почав гальмувати, його машину занесло вправо, де була яма. За словами прес-офіцера патрульної поліції Зої Вовк, автомобіль мав якусь несправність. Водій вчасно не розгубився, викликав патрульних та евакуатор. Внаслідок ДТП пошкодилась лише автівка. Коли її витягли надорогу, чоловік поїхав на станцію техобслуговування. Як повідомляв сайт vikka.ua, у ДТП в Черкасах ","#Черкаси, #ВІККА, #новини, #ДТП",https://www.vikka.ua/novini/u-cherkasax-avtivku-zaneslo-u-gliboku-yamu-foto/
